iter	MAE
0	0.6966744461
1	0.6754537733
2	0.6530932395
3	0.6316327564
4	0.6110465802
5	0.5905111236
6	0.5718167235
7	0.5542662412
8	0.5377067774
9	0.5217541355
10	0.5063258461
11	0.4903587101
12	0.4747827243
13	0.4613189713
14	0.4490715759
15	0.435937763
16	0.4234451777
17	0.4121099412
18	0.400635824
19	0.3904360699
20	0.3802518733
21	0.3706282565
22	0.3610765583
23	0.3521022513
24	0.3428970047
25	0.3346617277
26	0.3259641909
27	0.3182941264
28	0.3115086504
29	0.3045556183
30	0.2971521208
31	0.2907566999
32	0.2851693788
33	0.2800527628
34	0.2753306097
35	0.2708953498
36	0.2665606208
37	0.2626331722
38	0.2586252497
39	0.2550781602
40	0.2514233668
41	0.2471870172
42	0.2442513957
43	0.2405731704
44	0.2367399975
45	0.2339888388
46	0.2314678576
47	0.2287566998
48	0.2262375083
49	0.2233137544
50	0.220989839
51	0.2184906833
52	0.2164453708
53	0.213735949
54	0.2108950514
55	0.20899224
56	0.2068318136
57	0.2047994498
58	0.2029215792
59	0.2012842357
60	0.1995681781
61	0.1971230036
62	0.1957100099
63	0.1941430979
64	0.192816928
65	0.19062437
66	0.1891725998
67	0.187884345
68	0.1864087616
69	0.1852289084
70	0.1834561304
71	0.1819905442
72	0.1809515698
73	0.1800450544
74	0.1787022068
75	0.1776026173
76	0.176538813
77	0.1755110632
78	0.1747043485
79	0.1740490863
80	0.1734057631
81	0.1729147929
82	0.1723352569
83	0.1714751121
84	0.17073513
85	0.1702128669
86	0.1697109772
87	0.1692381766
88	0.1685588982
89	0.168008528
90	0.167163381
91	0.1665443183
92	0.1659572599
93	0.1653100206
94	0.1649233118
95	0.1642809604
96	0.1636993538
97	0.1633944079
98	0.1629530705
99	0.1624504557
100	0.1619453949
101	0.161371316
102	0.1609560601
103	0.1606634462
104	0.1602270702
105	0.1597554087
106	0.1594200826
107	0.1592662279
108	0.1590022832
109	0.1587317029
110	0.1585036939
111	0.1582108649
112	0.1579604664
113	0.1577131484
114	0.1574288891
115	0.1572981329
116	0.1570412593
117	0.1566268756
118	0.1564896126
119	0.1561833275
120	0.1559181445
121	0.1558513349
122	0.1557217381
123	0.1556163168
124	0.1554508038
125	0.1552695662
126	0.1551993572
127	0.1549639641
128	0.1548781568
129	0.1548311413
130	0.1547314835
131	0.1546255782
132	0.1545284909
133	0.1543150404
134	0.1541778836
135	0.1538903559
136	0.1536231094
137	0.1534852564
138	0.1534094557
139	0.1533467439
140	0.153281882
141	0.153201452
142	0.1531837169
143	0.1529679263
144	0.1528373149
145	0.1526815385
146	0.1526141233
147	0.152473975
148	0.152314727
149	0.1522188161
150	0.1521989052
151	0.1521727909
152	0.1519869647
153	0.1518286714
154	0.1517031372
155	0.1516710532
156	0.1515921095
157	0.1514220959
158	0.1512583829
159	0.1511804541
160	0.1511796756
161	0.1510878268
162	0.1509409229
163	0.1509167024
164	0.1508761301
165	0.150830596
166	0.1506761572
167	0.1506692193
168	0.1505290638
169	0.1504499852
170	0.150243799
171	0.1501257004
172	0.1500305835
173	0.1499241952
174	0.1498490218
175	0.1497437644
176	0.1496419834
177	0.1495250963
178	0.1495169948
179	0.1493986259
180	0.1493874657
181	0.1493296771
182	0.1492656919
183	0.1491577398
184	0.1490851927
185	0.1490787508
186	0.1490285835
187	0.1489525345
188	0.1488783416
189	0.1487982583
190	0.1487619295
191	0.1486441314
192	0.148629715
193	0.1485531895
194	0.148472483
195	0.1482824529
196	0.1482257894
197	0.1481606042
198	0.1481268119
199	0.148085164
200	0.1479934683
201	0.147944427
202	0.1478764026
203	0.1477549111
204	0.1476986663
205	0.1476706899
206	0.14754
207	0.1474034556
208	0.1473945184
209	0.1473471668
210	0.1473173795
211	0.1472636694
212	0.1472310449
213	0.1472268718
214	0.147183444
215	0.1471013706
216	0.1470057107
217	0.1469217484
218	0.1468146176
219	0.1467317755
220	0.1467031173
221	0.1465776794
222	0.1464448245
223	0.1463340578
224	0.1462396345
225	0.1461474821
226	0.1460772173
227	0.1460042391
228	0.1459714447
229	0.1459138872
230	0.1458879742
231	0.1457947415
232	0.1456640258
233	0.1456118223
234	0.1455831881
235	0.1455163098
236	0.1454189976
237	0.1454086275
238	0.1452367072
239	0.1451669362
240	0.1450635255
241	0.1449603081
242	0.144876463
243	0.1448589538
244	0.1448035384
245	0.1447813797
246	0.14470665
247	0.1445908642
248	0.1445413669
249	0.1444678934
250	0.1444051784
251	0.1442920256
252	0.1442894886
253	0.144259885
254	0.1442253562
255	0.144140231
256	0.1440279148
257	0.1439394057
258	0.1438330514
259	0.1436714578
260	0.1436132678
261	0.1435852382
262	0.1435423781
263	0.143512073
264	0.1434795418
265	0.1434473239
