iter	Passed	Remaining
0	4	1270
1	8	1220
2	12	1088
3	15	1029
4	18	981
5	21	956
6	24	928
7	27	903
8	30	893
9	33	878
10	36	872
11	39	858
12	42	846
13	44	835
14	47	826
15	50	813
16	53	806
17	56	805
18	59	798
19	62	794
20	65	786
21	68	779
22	70	771
23	73	765
24	76	758
25	78	750
26	81	744
27	83	736
28	86	730
29	89	725
30	91	719
31	94	712
32	96	706
33	99	700
34	102	697
35	104	693
36	107	688
37	110	683
38	112	678
39	115	673
40	117	668
41	120	663
42	122	658
43	125	653
44	127	649
45	129	644
46	132	639
47	135	637
48	138	633
49	140	628
50	142	623
51	145	619
52	147	614
53	150	612
54	152	608
55	155	605
56	158	601
57	160	597
58	162	593
59	165	590
60	167	586
61	170	582
62	173	579
63	175	575
64	177	571
65	180	568
66	182	564
67	185	561
68	187	558
69	190	554
70	192	551
71	195	547
72	197	544
73	200	540
74	202	538
75	205	535
76	207	531
77	210	528
78	212	525
79	215	522
80	217	518
81	220	515
82	222	512
83	225	509
84	227	506
85	230	503
86	232	499
87	235	497
88	237	494
89	240	490
90	242	488
91	245	484
92	247	481
93	250	479
94	252	476
95	255	473
96	257	470
97	260	467
98	262	463
99	264	460
100	267	457
101	269	455
102	272	452
103	274	449
104	277	446
105	279	443
106	282	440
107	284	437
108	287	434
109	289	432
110	292	429
111	295	426
112	297	424
113	300	421
114	302	418
115	305	415
116	307	412
117	310	410
118	312	407
119	315	404
120	317	401
121	320	399
122	322	396
123	325	393
124	327	390
125	329	387
126	332	384
127	334	382
128	337	379
129	340	376
130	342	374
131	345	371
132	347	368
133	350	366
134	352	363
135	355	360
136	357	357
137	360	354
138	362	351
139	364	349
140	367	346
141	369	343
142	372	340
143	374	338
144	377	335
145	380	333
146	386	333
147	390	332
148	393	329
149	396	327
150	399	325
151	402	322
152	405	320
153	407	317
154	410	315
155	413	313
156	416	310
157	419	308
158	422	305
159	424	302
160	427	299
161	429	297
162	432	294
163	434	291
164	436	288
165	439	285
166	441	282
167	443	280
168	446	277
169	448	274
170	451	272
171	454	269
172	458	267
173	461	264
174	463	262
175	466	259
176	468	257
177	471	254
178	473	251
179	476	248
180	479	246
181	481	243
182	484	240
183	486	237
184	488	235
185	491	232
186	493	229
187	496	226
188	498	224
189	501	221
190	503	218
191	506	216
192	508	213
193	510	210
194	513	208
195	516	205
196	518	202
197	521	200
198	523	197
199	526	194
200	529	192
201	531	189
202	533	186
203	536	184
204	538	181
205	541	178
206	544	176
207	546	173
208	549	170
209	551	168
210	553	165
211	556	162
212	558	159
213	560	157
214	563	154
215	565	151
216	568	149
217	570	146
218	573	143
219	575	141
220	577	138
221	580	135
222	583	133
223	585	130
224	589	128
225	591	125
226	594	123
227	597	120
228	599	117
229	601	115
230	604	112
231	606	109
232	609	107
233	611	104
234	614	101
235	616	99
236	619	96
237	621	93
238	623	91
239	625	88
240	628	86
241	630	83
242	633	80
243	635	78
244	638	75
245	640	72
246	642	70
247	645	67
248	647	65
249	650	62
250	653	59
251	655	57
252	658	54
253	660	52
254	663	49
255	665	46
256	667	44
257	670	41
258	672	38
259	675	36
260	677	33
261	680	31
262	682	28
263	684	25
264	687	23
265	690	20
